Center_Name,Latitude,Longitude
"AIIMS, New Delhi",28.5672,77.21
"CMC, Vellore",12.9248,79.1352
"PGIMER, Chandigarh",30.7634,76.7797
"JIPMER, Puducherry",11.9547,79.7963
"Apollo Hospital, Chennai",13.0405,80.2505
"Tata Memorial Hospital, Mumbai",18.9912,72.8258
"Kaling Institute, Bhubaneswar",20.3546,85.8198
"Amrita Institute, Kochi",10.0326,76.2829
"Sams Hospital, Hyderabad",17.385,78.4867
"King George Medical Univ, Lucknow",26.8687,80.9157
"IPGMER, Kolkata",22.5298,88.3442
"SMS Hospital, Jaipur",26.9066,75.8173
"RIMS, Ranchi",23.3644,85.34
"GMCH, Guwahati",26.1528,91.7709
