Organism,Specimen Type,Clinical Setting (OPD/Ward/ICU),Resistance Mechanism/Gene Detected,Antibiotic Susceptibility (%),Total Culture Positive Isolates,Report Year,Source
Escherichia coli,Blood,Not in source,"TEM (29.58%), IMP (27.97%), VIM (19.29%), NDM-1 (14.47%)","Amikacin (72.5), Ceftazidime (27.5), Imipenem (57.6), Meropenem (62.9)",25994,2024,1
Klebsiella pneumoniae,Not in source,Not in source,"TEM (33.66%), OXA-48 (25.57%), SHV (22.98%)","Piperacillin-tazobactam (26), Imipenem (31.2), Meropenem (35.1), Amikacin (39.9)",17413,2024,1
Pseudomonas aeruginosa,Not in source,Not in source,"MBL genes (NDM, VIM)","Imipenem (43), Meropenem (38), Ciprofloxacin (57)",11419,2024,1
Acinetobacter baumannii,LRT,ICU,"blaOXA-23 (predominant), blaNDM","Meropenem (9), Minocycline (~70)",10351,2024,1
Staphylococcus aureus  (MRSA),Not in source,Not in source,Not in source,"Vancomycin (~100), Teicoplanin (~100)",4253,2024,1
Enterococcus faecium,Not in source,Ward/ICU,Not in source,Vancomycin (65.8),3002,2024,1
Salmonella Typhi,Blood,Not in source,Not in source,"Ceftriaxone (98), Cefixime (97.9), TMP-SMX (97.7), Azithromycin (99.5), Ciprofloxacin (1.3)",841,2024,1
Candida auris,Not in source,Not in source,Not in source,"Echinocandins (~90), Fluconazole (40.8), Voriconazole (11.8)",293,2024,1
Escherichia coli,Blood,OPD,Not in source,"Amikacin (78.6), Ceftriaxone (28.3), Ciprofloxacin (14.2), Colistin (99.8), Ertapenem (77.2), Fosfomycin (97.5), Imipenem (72.8), Levofloxacin (13.8), Meropenem (75.1), Minocycline (83.7), Piperacillin-tazobactam (40.8), Trimethoprim-sulfamethoxazole (32.6)",947,2022,2
Klebsiella pneumoniae,Blood,Ward,Not in source,"Amikacin (36.1), Ceftriaxone (24.8), Ciprofloxacin (18.4), Colistin (94.4), Ertapenem (35.4), Fosfomycin (61.5), Imipenem (34.6), Levofloxacin (19.6), Meropenem (35.1), Minocycline (54.9), Piperacillin-tazobactam (17.6), Trimethoprim-sulfamethoxazole (29.7)",1868,2022,2
