Year,Center_Name,Pathogen,Antibiotic,Total_Isolates,Resistant_Isolates,Resistance_Percentage
2022,"AIIMS, New Delhi",Escherichia coli,Imipenem,210,52,25.1
2022,"AIIMS, New Delhi",Escherichia coli,Meropenem,210,57,27.3
2022,"AIIMS, New Delhi",Escherichia coli,Ceftriaxone,210,68,32.7
2022,"AIIMS, New Delhi",Escherichia coli,Ciprofloxacin,210,49,23.7
2022,"AIIMS, New Delhi",Escherichia coli,Amikacin,210,40,19.2
2022,"AIIMS, New Delhi",Escherichia coli,Colistin,210,4,2.3
2022,"AIIMS, New Delhi",Klebsiella pneumoniae,Imipenem,194,110,57.1
2022,"AIIMS, New Delhi",Klebsiella pneumoniae,Meropenem,194,118,61.0
2022,"AIIMS, New Delhi",Klebsiella pneumoniae,Ceftriaxone,194,178,92.1
2022,"AIIMS, New Delhi",Klebsiella pneumoniae,Ciprofloxacin,194,117,60.7
2022,"AIIMS, New Delhi",Klebsiella pneumoniae,Amikacin,194,133,68.8
2022,"AIIMS, New Delhi",Klebsiella pneumoniae,Colistin,194,13,6.9
2022,"AIIMS, New Delhi",Staphylococcus aureus,Penicillin,138,66,48.1
2022,"AIIMS, New Delhi",Staphylococcus aureus,Ciprofloxacin,138,63,45.9
2022,"AIIMS, New Delhi",Staphylococcus aureus,Erythromycin,138,62,45.4
2022,"AIIMS, New Delhi",Staphylococcus aureus,Clindamycin,138,65,47.4
2022,"AIIMS, New Delhi",Staphylococcus aureus,Vancomycin,138,67,49.1
2022,"AIIMS, New Delhi",Staphylococcus aureus,Linezolid,138,61,44.3
2022,"AIIMS, New Delhi",Acinetobacter baumannii,Imipenem,292,174,59.9
2022,"AIIMS, New Delhi",Acinetobacter baumannii,Meropenem,292,181,62.1
2022,"AIIMS, New Delhi",Acinetobacter baumannii,Ceftriaxone,292,273,93.8
2022,"AIIMS, New Delhi",Acinetobacter baumannii,Ciprofloxacin,292,189,65.0
2022,"AIIMS, New Delhi",Acinetobacter baumannii,Amikacin,292,170,58.2
2022,"AIIMS, New Delhi",Acinetobacter baumannii,Colistin,292,17,6.0
2022,"AIIMS, New Delhi",Pseudomonas aeruginosa,Imipenem,520,99,19.1
2022,"AIIMS, New Delhi",Pseudomonas aeruginosa,Meropenem,520,138,26.7
2022,"AIIMS, New Delhi",Pseudomonas aeruginosa,Ceftriaxone,520,201,38.8
2022,"AIIMS, New Delhi",Pseudomonas aeruginosa,Ciprofloxacin,520,111,21.4
2022,"AIIMS, New Delhi",Pseudomonas aeruginosa,Amikacin,520,138,26.7
2022,"AIIMS, New Delhi",Pseudomonas aeruginosa,Colistin,520,12,2.5
2022,"CMC, Vellore",Escherichia coli,Imipenem,199,38,19.5
2022,"CMC, Vellore",Escherichia coli,Meropenem,199,31,15.8
2022,"CMC, Vellore",Escherichia coli,Ceftriaxone,199,54,27.6
2022,"CMC, Vellore",Escherichia coli,Ciprofloxacin,199,28,14.5
2022,"CMC, Vellore",Escherichia coli,Amikacin,199,31,15.6
2022,"CMC, Vellore",Escherichia coli,Colistin,199,3,1.8
2022,"CMC, Vellore",Klebsiella pneumoniae,Imipenem,208,95,46.0
2022,"CMC, Vellore",Klebsiella pneumoniae,Meropenem,208,101,49.0
2022,"CMC, Vellore",Klebsiella pneumoniae,Ceftriaxone,208,126,60.7
2022,"CMC, Vellore",Klebsiella pneumoniae,Ciprofloxacin,208,78,37.9
2022,"CMC, Vellore",Klebsiella pneumoniae,Amikacin,208,100,48.5
2022,"CMC, Vellore",Klebsiella pneumoniae,Colistin,208,8,4.3
2022,"CMC, Vellore",Staphylococcus aureus,Penicillin,110,40,37.2
2022,"CMC, Vellore",Staphylococcus aureus,Ciprofloxacin,110,32,29.7
2022,"CMC, Vellore",Staphylococcus aureus,Erythromycin,110,40,37.2
2022,"CMC, Vellore",Staphylococcus aureus,Clindamycin,110,38,34.6
2022,"CMC, Vellore",Staphylococcus aureus,Vancomycin,110,36,33.6
2022,"CMC, Vellore",Staphylococcus aureus,Linezolid,110,42,38.2
2022,"CMC, Vellore",Acinetobacter baumannii,Imipenem,54,25,47.6
2022,"CMC, Vellore",Acinetobacter baumannii,Meropenem,54,26,49.0
2022,"CMC, Vellore",Acinetobacter baumannii,Ceftriaxone,54,39,73.5
2022,"CMC, Vellore",Acinetobacter baumannii,Ciprofloxacin,54,26,48.4
2022,"CMC, Vellore",Acinetobacter baumannii,Amikacin,54,23,44.1
2022,"CMC, Vellore",Acinetobacter baumannii,Colistin,54,2,4.2
2022,"CMC, Vellore",Pseudomonas aeruginosa,Imipenem,71,13,18.6
2022,"CMC, Vellore",Pseudomonas aeruginosa,Meropenem,71,14,19.8
2022,"CMC, Vellore",Pseudomonas aeruginosa,Ceftriaxone,71,18,25.7
2022,"CMC, Vellore",Pseudomonas aeruginosa,Ciprofloxacin,71,12,17.7
2022,"CMC, Vellore",Pseudomonas aeruginosa,Amikacin,71,11,16.0
2022,"CMC, Vellore",Pseudomonas aeruginosa,Colistin,71,1,1.6
2022,"PGIMER, Chandigarh",Escherichia coli,Imipenem,733,183,25.1
2022,"PGIMER, Chandigarh",Escherichia coli,Meropenem,733,146,20.0
2022,"PGIMER, Chandigarh",Escherichia coli,Ceftriaxone,733,272,37.2
2022,"PGIMER, Chandigarh",Escherichia coli,Ciprofloxacin,733,174,23.8
2022,"PGIMER, Chandigarh",Escherichia coli,Amikacin,733,184,25.1
2022,"PGIMER, Chandigarh",Escherichia coli,Colistin,733,18,2.6
2022,"PGIMER, Chandigarh",Klebsiella pneumoniae,Imipenem,451,253,56.3
2022,"PGIMER, Chandigarh",Klebsiella pneumoniae,Meropenem,451,279,62.0
2022,"PGIMER, Chandigarh",Klebsiella pneumoniae,Ceftriaxone,451,349,77.6
2022,"PGIMER, Chandigarh",Klebsiella pneumoniae,Ciprofloxacin,451,263,58.3
2022,"PGIMER, Chandigarh",Klebsiella pneumoniae,Amikacin,451,268,59.6
2022,"PGIMER, Chandigarh",Klebsiella pneumoniae,Colistin,451,29,6.6
2022,"PGIMER, Chandigarh",Staphylococcus aureus,Penicillin,711,314,44.2
2022,"PGIMER, Chandigarh",Staphylococcus aureus,Ciprofloxacin,711,355,50.0
2022,"PGIMER, Chandigarh",Staphylococcus aureus,Erythromycin,711,371,52.2
2022,"PGIMER, Chandigarh",Staphylococcus aureus,Clindamycin,711,419,59.0
2022,"PGIMER, Chandigarh",Staphylococcus aureus,Vancomycin,711,396,55.8
2022,"PGIMER, Chandigarh",Staphylococcus aureus,Linezolid,711,369,52.0
2022,"PGIMER, Chandigarh",Acinetobacter baumannii,Imipenem,963,493,51.2
2022,"PGIMER, Chandigarh",Acinetobacter baumannii,Meropenem,963,629,65.4
2022,"PGIMER, Chandigarh",Acinetobacter baumannii,Ceftriaxone,963,857,89.1
2022,"PGIMER, Chandigarh",Acinetobacter baumannii,Ciprofloxacin,963,522,54.3
2022,"PGIMER, Chandigarh",Acinetobacter baumannii,Amikacin,963,553,57.5
2022,"PGIMER, Chandigarh",Acinetobacter baumannii,Colistin,963,49,5.2
2022,"PGIMER, Chandigarh",Pseudomonas aeruginosa,Imipenem,965,213,22.1
2022,"PGIMER, Chandigarh",Pseudomonas aeruginosa,Meropenem,965,223,23.1
2022,"PGIMER, Chandigarh",Pseudomonas aeruginosa,Ceftriaxone,965,372,38.6
2022,"PGIMER, Chandigarh",Pseudomonas aeruginosa,Ciprofloxacin,965,225,23.4
2022,"PGIMER, Chandigarh",Pseudomonas aeruginosa,Amikacin,965,251,26.0
2022,"PGIMER, Chandigarh",Pseudomonas aeruginosa,Colistin,965,20,2.1
2022,"JIPMER, Puducherry",Escherichia coli,Imipenem,527,94,18.0
2022,"JIPMER, Puducherry",Escherichia coli,Meropenem,527,92,17.6
2022,"JIPMER, Puducherry",Escherichia coli,Ceftriaxone,527,122,23.2
2022,"JIPMER, Puducherry",Escherichia coli,Ciprofloxacin,527,90,17.2
2022,"JIPMER, Puducherry",Escherichia coli,Amikacin,527,91,17.4
2022,"JIPMER, Puducherry",Escherichia coli,Colistin,527,8,1.7
2022,"JIPMER, Puducherry",Klebsiella pneumoniae,Imipenem,563,258,46.0
2022,"JIPMER, Puducherry",Klebsiella pneumoniae,Meropenem,563,202,35.9
2022,"JIPMER, Puducherry",Klebsiella pneumoniae,Ceftriaxone,563,344,61.1
2022,"JIPMER, Puducherry",Klebsiella pneumoniae,Ciprofloxacin,563,288,51.3
2022,"JIPMER, Puducherry",Klebsiella pneumoniae,Amikacin,563,252,44.9
2022,"JIPMER, Puducherry",Klebsiella pneumoniae,Colistin,563,21,3.7
2022,"JIPMER, Puducherry",Staphylococcus aureus,Penicillin,280,101,36.2
2022,"JIPMER, Puducherry",Staphylococcus aureus,Ciprofloxacin,280,125,44.9
2022,"JIPMER, Puducherry",Staphylococcus aureus,Erythromycin,280,98,35.3
2022,"JIPMER, Puducherry",Staphylococcus aureus,Clindamycin,280,103,37.1
2022,"JIPMER, Puducherry",Staphylococcus aureus,Vancomycin,280,100,35.9
2022,"JIPMER, Puducherry",Staphylococcus aureus,Linezolid,280,89,31.8
2022,"JIPMER, Puducherry",Acinetobacter baumannii,Imipenem,582,281,48.5
2022,"JIPMER, Puducherry",Acinetobacter baumannii,Meropenem,582,231,39.8
2022,"JIPMER, Puducherry",Acinetobacter baumannii,Ceftriaxone,582,362,62.3
2022,"JIPMER, Puducherry",Acinetobacter baumannii,Ciprofloxacin,582,282,48.5
2022,"JIPMER, Puducherry",Acinetobacter baumannii,Amikacin,582,240,41.4
2022,"JIPMER, Puducherry",Acinetobacter baumannii,Colistin,582,29,5.1
2022,"JIPMER, Puducherry",Pseudomonas aeruginosa,Imipenem,426,81,19.1
2022,"JIPMER, Puducherry",Pseudomonas aeruginosa,Meropenem,426,93,21.9
2022,"JIPMER, Puducherry",Pseudomonas aeruginosa,Ceftriaxone,426,103,24.3
2022,"JIPMER, Puducherry",Pseudomonas aeruginosa,Ciprofloxacin,426,72,17.0
2022,"JIPMER, Puducherry",Pseudomonas aeruginosa,Amikacin,426,77,18.2
2022,"JIPMER, Puducherry",Pseudomonas aeruginosa,Colistin,426,7,1.7
2022,"Apollo Hospital, Chennai",Escherichia coli,Imipenem,257,39,15.2
2022,"Apollo Hospital, Chennai",Escherichia coli,Meropenem,257,46,18.1
2022,"Apollo Hospital, Chennai",Escherichia coli,Ceftriaxone,257,62,24.1
2022,"Apollo Hospital, Chennai",Escherichia coli,Ciprofloxacin,257,48,18.9
2022,"Apollo Hospital, Chennai",Escherichia coli,Amikacin,257,42,16.3
2022,"Apollo Hospital, Chennai",Escherichia coli,Colistin,257,5,2.1
2022,"Apollo Hospital, Chennai",Klebsiella pneumoniae,Imipenem,935,404,43.3
2022,"Apollo Hospital, Chennai",Klebsiella pneumoniae,Meropenem,935,383,41.0
2022,"Apollo Hospital, Chennai",Klebsiella pneumoniae,Ceftriaxone,935,608,65.1
2022,"Apollo Hospital, Chennai",Klebsiella pneumoniae,Ciprofloxacin,935,444,47.5
2022,"Apollo Hospital, Chennai",Klebsiella pneumoniae,Amikacin,935,464,49.7
2022,"Apollo Hospital, Chennai",Klebsiella pneumoniae,Colistin,935,44,4.7
2022,"Apollo Hospital, Chennai",Staphylococcus aureus,Penicillin,654,197,30.2
2022,"Apollo Hospital, Chennai",Staphylococcus aureus,Ciprofloxacin,654,239,36.7
2022,"Apollo Hospital, Chennai",Staphylococcus aureus,Erythromycin,654,241,36.9
2022,"Apollo Hospital, Chennai",Staphylococcus aureus,Clindamycin,654,253,38.8
2022,"Apollo Hospital, Chennai",Staphylococcus aureus,Vancomycin,654,206,31.5
2022,"Apollo Hospital, Chennai",Staphylococcus aureus,Linezolid,654,204,31.2
2022,"Apollo Hospital, Chennai",Acinetobacter baumannii,Imipenem,780,372,47.8
2022,"Apollo Hospital, Chennai",Acinetobacter baumannii,Meropenem,780,393,50.5
2022,"Apollo Hospital, Chennai",Acinetobacter baumannii,Ceftriaxone,780,538,69.0
2022,"Apollo Hospital, Chennai",Acinetobacter baumannii,Ciprofloxacin,780,380,48.8
2022,"Apollo Hospital, Chennai",Acinetobacter baumannii,Amikacin,780,357,45.8
2022,"Apollo Hospital, Chennai",Acinetobacter baumannii,Colistin,780,30,4.0
2022,"Apollo Hospital, Chennai",Pseudomonas aeruginosa,Imipenem,755,119,15.9
2022,"Apollo Hospital, Chennai",Pseudomonas aeruginosa,Meropenem,755,144,19.2
2022,"Apollo Hospital, Chennai",Pseudomonas aeruginosa,Ceftriaxone,755,183,24.4
2022,"Apollo Hospital, Chennai",Pseudomonas aeruginosa,Ciprofloxacin,755,146,19.4
2022,"Apollo Hospital, Chennai",Pseudomonas aeruginosa,Amikacin,755,151,20.1
2022,"Apollo Hospital, Chennai",Pseudomonas aeruginosa,Colistin,755,12,1.7
2022,"Tata Memorial Hospital, Mumbai",Escherichia coli,Imipenem,781,127,16.3
2022,"Tata Memorial Hospital, Mumbai",Escherichia coli,Meropenem,781,156,20.0
2022,"Tata Memorial Hospital, Mumbai",Escherichia coli,Ceftriaxone,781,224,28.7
2022,"Tata Memorial Hospital, Mumbai",Escherichia coli,Ciprofloxacin,781,183,23.5
2022,"Tata Memorial Hospital, Mumbai",Escherichia coli,Amikacin,781,122,15.6
2022,"Tata Memorial Hospital, Mumbai",Escherichia coli,Colistin,781,15,1.9
2022,"Tata Memorial Hospital, Mumbai",Klebsiella pneumoniae,Imipenem,669,300,44.9
2022,"Tata Memorial Hospital, Mumbai",Klebsiella pneumoniae,Meropenem,669,313,46.9
2022,"Tata Memorial Hospital, Mumbai",Klebsiella pneumoniae,Ceftriaxone,669,445,66.5
2022,"Tata Memorial Hospital, Mumbai",Klebsiella pneumoniae,Ciprofloxacin,669,327,48.9
